tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,19.0221,-2.34144,0.0,0.0000657895,0.0000657895,-5.26884E-23
blue,2.56922,2.02913,1.0,0.00103503,0.00103503,6.53978E-22
blue,5.86651,1.59529,2.0,0.0000754717,0.0000754717,1.13055E-22
blue,9.19668,1.3104,3.0,0.0000673401,0.0000673401,-2.28397E-23
blue,12.7278,0.510444,4.0,0.0000645161,0.0000645161,1.20302E-23
yellow,5.45856,-1.92325,5.0,0.000077821,0.000077821,1.91957E-22
yellow,8.5175,-2.45021,6.0,0.0000677966,0.0000677966,3.15622E-23
orange,7.04262,1.45185,7.0,0.0000675676,0.0000675676,1.91588E-24
orange,7.22198,-2.32838,8.0,0.00132634,0.00132634,6.53081E-21
orange,7.7695,1.37556,9.0,0.0000662252,0.0000662252,3.96061E-23
yellow,2.48805,-1.7831,10.0,0.0000724638,0.0000724638,1.06607E-22
blue,15.9008,-0.79504,11.0,0.000292022,0.000292022,4.90679E-23
yellow,16.3152,-5.75926,12.0,0.0000823045,0.0000823045,-7.67777E-24
yellow,14.1334,-4.43832,13.0,0.0000634921,0.0000634921,1.09449E-23
orange,6.69244,-2.21959,14.0,0.000280702,0.000280702,-1.11262E-22
yellow,11.2815,-3.25026,15.0,0.000333333,0.000333333,-1.08239E-22
yellow,18.697,-7.22005,16.0,0.000344828,0.000344828,-8.80882E-22
blue,21.5499,-4.19874,17.0,0.000298507,0.000298507,-1.02836E-21
yellow,20.1941,-8.43561,18.0,0.000512821,0.000512821,-2.92948E-22
blue,23.1732,-6.06063,19.0,0.00031746,0.00031746,2.65093E-21
yellow,22.0294,-11.6839,20.0,0.0104,0.0104,6.58635E-21
blue,24.4667,-7.8829,21.0,0.000357143,0.000357143,-2.99189E-21
yellow,21.0749,-9.7215,22.0,0.000416667,0.000416667,-6.27573E-21
yellow,21.9536,-15.2058,23.0,0.000408163,0.000408163,1.34863E-20
blue,25.5827,-13.109,24.0,0.000444444,0.000444444,1.39768E-20
yellow,22.106,-13.5699,25.0,0.000454545,0.000454545,-5.64783E-21
blue,25.5414,-10.8022,26.0,0.000408163,0.000408163,1.31744E-20
blue,25.443,-15.6353,27.0,0.000454545,0.000454545,4.20546E-21
yellow,21.778,-18.2791,28.0,0.000512821,0.000512821,-1.31074E-20
yellow,21.1556,-20.4403,29.0,0.0005,0.0005,1.15617E-20
blue,25.1436,-18.4134,30.0,0.000487805,0.000487805,-1.36869E-20
blue,24.7359,-21.1907,31.0,0.000555556,0.000555556,7.16452E-21
blue,24.5595,-23.5089,32.0,0.000540541,0.000540541,9.29224E-21
