tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,5,1.5,0.0,0.01,0.01,0.0
blue,10,1.5,0.0,0.01,0.01,0.0
blue,15,1.5,0.0,0.01,0.01,0.0
blue,20,1.5,0.0,0.01,0.01,0.0
blue,25,1.5,0.0,0.01,0.01,0.0
blue,30,1.5,0.0,0.01,0.01,0.0
blue,35,1.5,0.0,0.01,0.01,0.0
blue,40,1.5,0.0,0.01,0.01,0.0
blue,45,1.5,0.0,0.01,0.01,0.0
blue,50,1.5,0.0,0.01,0.01,0.0
blue,55,1.5,0.0,0.01,0.01,0.0
blue,60,1.5,0.0,0.01,0.01,0.0
blue,65,1.5,0.0,0.01,0.01,0.0
blue,70,1.5,0.0,0.01,0.01,0.0
yellow,5,-1.5,0.0,0.01,0.01,0.0
yellow,10,-1.5,0.0,0.01,0.01,0.0
yellow,15,-1.5,0.0,0.01,0.01,0.0
yellow,20,-1.5,0.0,0.01,0.01,0.0
yellow,25,-1.5,0.0,0.01,0.01,0.0
yellow,30,-1.5,0.0,0.01,0.01,0.0
yellow,35,-1.5,0.0,0.01,0.01,0.0
yellow,40,-1.5,0.0,0.01,0.01,0.0
yellow,45,-1.5,0.0,0.01,0.01,0.0
yellow,50,-1.5,0.0,0.01,0.01,0.0
yellow,55,-1.5,0.0,0.01,0.01,0.0
yellow,60,-1.5,0.0,0.01,0.01,0.0
yellow,65,-1.5,0.0,0.01,0.01,0.0
yellow,70,-1.5,0.0,0.01,0.01,0.0
big_orange,0.0,1.5,0.0,0.01,0.01,0.0
big_orange,0.0,-1.5,0.0,0.01,0.01,0.0
big_orange,-0.5,1.5,0.0,0.01,0.01,0.0
big_orange,-0.5,-1.5,0.0,0.01,0.01,0.0
big_orange,75,1.5,0.0,0.01,0.01,0.0
big_orange,75,-1.5,0.0,0.01,0.01,0.0
orange,80,1.5,0.0,0.01,0.01,0.0
orange,80,-1.5,0.0,0.01,0.01,0.0
orange,85,1.5,0.0,0.01,0.01,0.0
orange,85,-1.5,0.0,0.01,0.01,0.0
orange,90,1.5,0.0,0.01,0.01,0.0
orange,90,-1.5,0.0,0.01,0.01,0.0
orange,95,1.5,0.0,0.01,0.01,0.0
orange,95,-1.5,0.0,0.01,0.01,0.0
orange,100,1.5,0.0,0.01,0.01,0.0
orange,100,-1.5,0.0,0.01,0.01,0.0
orange,100,0.75,0.0,0.01,0.01,0.0
orange,100,-0.75,0.0,0.01,0.01,0.0
car_start,-3,0.0,0.0,0.0,0.0,0.0
