tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,0.0,-1.637,0.0,0.01,0.01,0.0
blue,-2.913,-2.216,0.0,0.01,0.01,0.0
blue,-5.382,-3.867,0.0,0.01,0.01,0.0
blue,-7.033,-6.336,0.0,0.01,0.01,0.0
blue,-7.612,-9.25,0.0,0.01,0.01,0.0
blue,-7.033,-12.16,0.0,0.01,0.01,0.0
blue,-5.382,-14.63,0.0,0.01,0.01,0.0
blue,-2.913,-16.28,0.0,0.01,0.01,0.0
blue,0.0,-16.86,0.0,0.01,0.01,0.0
blue,2.9131,-16.28,0.0,0.01,0.01,0.0
blue,5.3828,-14.63,0.0,0.01,0.01,0.0
blue,7.033,-12.16,0.0,0.01,0.01,0.0
blue,7.6125,-9.25,0.0,0.01,0.01,0.0
blue,7.033,-6.336,0.0,0.01,0.01,0.0
blue,5.3828,-3.867,0.0,0.01,0.01,0.0
blue,2.9131,-2.216,0.0,0.01,0.01,0.0
blue,7.5041,1.7458,0.0,0.01,0.01,0.0
blue,9.8046,5.1887,0.0,0.01,0.01,0.0
blue,10.612,9.25,0.0,0.01,0.01,0.0
blue,9.8046,13.311,0.0,0.01,0.01,0.0
blue,7.5041,16.754,0.0,0.01,0.01,0.0
blue,4.0612,19.054,0.0,0.01,0.01,0.0
blue,0.0,19.862,0.0,0.01,0.01,0.0
blue,-4.061,19.054,0.0,0.01,0.01,0.0
blue,-7.504,16.754,0.0,0.01,0.01,0.0
blue,-9.804,13.311,0.0,0.01,0.01,0.0
blue,-10.61,9.25,0.0,0.01,0.01,0.0
blue,-9.804,5.1887,0.0,0.01,0.01,0.0
blue,-7.504,1.7458,0.0,0.01,0.01,0.0
blue,0.0,-1.637,0.0,0.01,0.01,0.0
yellow,0.0,16.862,0.0,0.01,0.01,0.0
yellow,-2.913,16.283,0.0,0.01,0.01,0.0
yellow,-5.382,14.632,0.0,0.01,0.01,0.0
yellow,-7.033,12.163,0.0,0.01,0.01,0.0
yellow,-7.612,9.25,0.0,0.01,0.01,0.0
yellow,-7.033,6.3368,0.0,0.01,0.01,0.0
yellow,-5.382,3.8671,0.0,0.01,0.01,0.0
yellow,-2.913,2.2169,0.0,0.01,0.01,0.0
yellow,0.0,1.6375,0.0,0.01,0.01,0.0
yellow,2.9131,2.2169,0.0,0.01,0.01,0.0
yellow,5.3828,3.8671,0.0,0.01,0.01,0.0
yellow,7.033,6.3368,0.0,0.01,0.01,0.0
yellow,7.6125,9.25,0.0,0.01,0.01,0.0
yellow,7.033,12.163,0.0,0.01,0.01,0.0
yellow,5.3828,14.632,0.0,0.01,0.01,0.0
yellow,2.9131,16.283,0.0,0.01,0.01,0.0
yellow,7.5041,-1.745,0.0,0.01,0.01,0.0
yellow,9.8046,-5.188,0.0,0.01,0.01,0.0
yellow,10.612,-9.25,0.0,0.01,0.01,0.0
yellow,9.8046,-13.31,0.0,0.01,0.01,0.0
yellow,7.5041,-16.75,0.0,0.01,0.01,0.0
yellow,4.0612,-19.05,0.0,0.01,0.01,0.0
yellow,0.0,-19.86,0.0,0.01,0.01,0.0
yellow,-4.061,-19.05,0.0,0.01,0.01,0.0
yellow,-7.504,-16.75,0.0,0.01,0.01,0.0
yellow,-9.8,-13.31,0.0,0.01,0.01,0.0
yellow,-10.61,-9.25,0.0,0.01,0.01,0.0
yellow,-9.804,-5.188,0.0,0.01,0.01,0.0
yellow,-7.504,-1.745,0.0,0.01,0.01,0.0
yellow,0.0,16.862,0.0,0.01,0.01,0.0
big_orange,1.4851,-1.783,0.0,0.01,0.01,0.0
big_orange,-1.485,-1.783,0.0,0.01,0.01,0.0
big_orange,1.4851,1.7837,0.0,0.01,0.01,0.0
big_orange,-1.485,1.7837,0.0,0.01,0.01,0.0
orange,-9,-1.637,0.0,0.01,0.01,0.0
orange,-11,-1.637,0.0,0.01,0.01,0.0
orange,-9,1.6375,0.0,0.01,0.01,0.0
orange,-11,1.6375,0.0,0.01,0.01,0.0
orange,9,-1.637,0.0,0.01,0.01,0.0
orange,11,-1.637,0.0,0.01,0.01,0.0
orange,13,-1.637,0.0,0.01,0.01,0.0
orange,15,-1.637,0.0,0.01,0.01,0.0
orange,17,-1.637,0.0,0.01,0.01,0.0
orange,19,-1.637,0.0,0.01,0.01,0.0
orange,9,1.6375,0.0,0.01,0.01,0.0
orange,11,1.6375,0.0,0.01,0.01,0.0
orange,13,1.6375,0.0,0.01,0.01,0.0
orange,15,1.6375,0.0,0.01,0.01,0.0
orange,17,1.6375,0.0,0.01,0.01,0.0
orange,19,1.6375,0.0,0.01,0.01,0.0
orange,21,-1.637,0.0,0.01,0.01,0.0
orange,21,1.6375,0.0,0.01,0.01,0.0
orange,21,-0.55,0.0,0.01,0.01,0.0
orange,21,0.55,0.0,0.01,0.01,0.0
car_start,-9.8,0.0,0.0,0.0,0.0,0.0
