tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-3.7219,-0.73066,0.0,0.01,0.01,0.0
blue,0.2447,2.19,0.0,0.01,0.01,0.0
blue,6.10938,2.7757,0.0,0.01,0.01,0.0
blue,22.62956,5.5379,0.0,0.01,0.01,0.0
blue,25.492,6.7404,0.0,0.01,0.01,0.0
blue,28.1389,6.2025,0.0,0.01,0.01,0.0
blue,32.5034,3.3361,0.0,0.01,0.01,0.0
blue,33.8922,1.4012,0.0,0.01,0.01,0.0
blue,30.5221,5.0812,0.0,0.01,0.01,0.0
blue,34.4761,-1.50426,0.0,0.01,0.01,0.0
blue,33.9992,-5.02338,0.0,0.01,0.01,0.0
blue,32.9925,-8.05947,0.0,0.01,0.01,0.0
blue,32.0983,-10.3,0.0,0.01,0.01,0.0
blue,30.1824,-13.53994,0.0,0.01,0.01,0.0
blue,24.114,-17.04408,0.0,0.01,0.01,0.0
blue,8.93448,3.0637,0.0,0.01,0.01,0.0
blue,27.2831,-15.56437,0.0,0.01,0.01,0.0
blue,21.25363,-18.83889,0.0,0.01,0.01,0.0
blue,18.06185,-20.4551,0.0,0.01,0.01,0.0
blue,14.42086,-22.2634,0.0,0.01,0.01,0.0
blue,10.5025,-24.3305,0.0,0.01,0.01,0.0
blue,7.25136,-26.4217,0.0,0.01,0.01,0.0
blue,3.65159,-27.4551,0.0,0.01,0.01,0.0
blue,0.788600000000001,-26.9459,0.0,0.01,0.01,0.0
blue,-1.4625,-25.2249,0.0,0.01,0.01,0.0
blue,-3.2427,-23.576,0.0,0.01,0.01,0.0
blue,12.868761,3.0125,0.0,0.01,0.01,0.0
blue,-5.1431,-21.386,0.0,0.01,0.01,0.0
blue,-5.6174,-17.86085,0.0,0.01,0.01,0.0
blue,-5.9382,-15.45509,0.0,0.01,0.01,0.0
blue,-5.5558,-12.86017,0.0,0.01,0.01,0.0
blue,-5.1206,-10.3,0.0,0.01,0.01,0.0
blue,-4.7841,-7.25754,0.0,0.01,0.01,0.0
blue,-4.8432,-4.02909,0.0,0.01,0.01,0.0
blue,-2.1864,1.4137,0.0,0.01,0.01,0.0
blue,16.50416,3.4245,0.0,0.01,0.01,0.0
blue,20.13676,4.427,0.0,0.01,0.01,0.0
yellow,0.781599999999999,-2.69197,0.0,0.01,0.01,0.0
yellow,20.14787,-0.37344,0.0,0.01,0.01,0.0
yellow,23.4312,0.498999999999999,0.0,0.01,0.01,0.0
yellow,25.9655,1.5014,0.0,0.01,0.01,0.0
yellow,27.9652,0.9833,0.0,0.01,0.01,0.0
yellow,29.6054,-1.17965,0.0,0.01,0.01,0.0
yellow,6.09002,-1.85546,0.0,0.01,0.01,0.0
yellow,29.7063,-4.19228,0.0,0.01,0.01,0.0
yellow,28.876,-6.82094,0.0,0.01,0.01,0.0
yellow,28.106,-8.7973,0.0,0.01,0.01,0.0
yellow,26.6765,-10.3,0.0,0.01,0.01,0.0
yellow,22.41953,-13.14739,0.0,0.01,0.01,0.0
yellow,25.0732,-11.73122,0.0,0.01,0.01,0.0
yellow,20.26282,-14.2408,0.0,0.01,0.01,0.0
yellow,17.65159,-15.45509,0.0,0.01,0.01,0.0
yellow,14.78774,-16.96723,0.0,0.01,0.01,0.0
yellow,11.02031,-18.86329,0.0,0.01,0.01,0.0
yellow,8.98305,-1.79678,0.0,0.01,0.01,0.0
yellow,7.81877,-20.8555,0.0,0.01,0.01,0.0
yellow,5.42957,-22.4125,0.0,0.01,0.01,0.0
yellow,3.23612,-23.0081,0.0,0.01,0.01,0.0
yellow,0.966200000000001,-21.9718,0.0,0.01,0.01,0.0
yellow,-0.9298,-19.28291,0.0,0.01,0.01,0.0
yellow,-1.1575,-16.07329,0.0,0.01,0.01,0.0
yellow,-1.0043,-12.92998,0.0,0.01,0.01,0.0
yellow,-0.608700000000001,-10.3,0.0,0.01,0.01,0.0
yellow,-0.347799999999999,-7.24288,0.0,0.01,0.01,0.0
yellow,12.940241,-1.92409,0.0,0.01,0.01,0.0
yellow,-0.345499999999999,-4.51192,0.0,0.01,0.01,0.0
yellow,16.5151,-1.6032,0.0,0.01,0.01,0.0
big_orange,3.38686,2.7,0.0,0.01,0.01,0.0
big_orange,3.00066,2.689,0.0,0.01,0.01,0.0
big_orange,3.37852,-1.90677,0.0,0.01,0.01,0.0
big_orange,3.01333,-1.90652,0.0,0.01,0.01,0.0
car_start,0.0,0.0,0.0,0.0,0.0,0.0
